brand listing,checkout,conversion,generic listing,lead,search engine hit,searched products,staticpage,viewed product,visited site,vis_iPhone 7 Plus,vis_iPhone 6S,vis_Samsung Galaxy S7 Edge,vis_Samsung Galaxy S6 Flat,vis_iPhone SE,vis_Samsung Galaxy S5,vis_Samsung Galaxy J7 2016 Metal,viewedproduct_Preto,viewedproduct_16GB,viewedproduct_8GB,viewedproduct_Bom,visitedsite_Computer,visitedsite_Smartphone,visitedsite_Android 8,visitedsite_Chrome 66.0,visitedsite_Chrome Mobile 64.0,visitedsite_Chrome Mobile 39,visitedsite_Chrome Mobile 36.0,adcampaignhit_google,ad campaign hit mes 5,checkout mes 5,conversion mes 5,search engine hit mes 5,searched products mes 5,viewed product mes 5,dias_hasta_ultimo,viewed product mes 4,visited site mes 4,distan_dias,cant_dias_dist,modelos_dist,promedio_por_dia_x,promedio_por_mes,person
3.0,1.0,1.0,15.0,0.0,1.0,0.0,1.0,23.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,9.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,23.0,0,0.0,0.0,8,10,12,6.8,68.0,0566e9c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,1,0,2.0,2.0,6ec7ee77
14.0,1.0,0.0,9.0,0.0,4.0,6.0,0.0,31.0,22.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,11.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,14.0,2,8.0,11.0,108,12,7,8.0,24.0,abe7a2fb
5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,15.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,4,0.0,0.0,8,4,11,9.25,37.0,34728364
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,9.0,12,0.0,0.0,0,2,1,8.5,17.0,87ed62de
31.0,3.0,1.0,166.0,0.0,92.0,13.0,20.0,121.0,114.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,89.0,9.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29,41.0,70.0,82,31,11,18.193548387096776,141.0,db2c4d27
1.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,8.0,0,0.0,0.0,5,3,2,8.0,24.0,cde431db
0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,3.0,1,3,0,2.6666666666666665,8.0,be65035b
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,4.0,9,0.0,0.0,0,1,1,11.0,11.0,a4178891
2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,12.0,13,0.0,0.0,0,1,1,22.0,22.0,d066f64c
0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,12.0,5.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,18.0,1.0,0.0,3.0,0.0,31.0,2,0.0,0.0,19,3,12,20.33333333333333,61.0,47a783b9
2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,105.0,3.0,47.0,13.0,0.0,0.0,1.0,0.0,0.0,7.0,20.0,0.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,105.0,6,0.0,0.0,19,3,14,39.0,117.0,7fc00648
3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,4.0,0.0,2.0,1,0.0,0.0,8,2,1,10.0,20.0,ce16abb3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14,0.0,0.0,0,1,1,4.0,4.0,4b38d082
1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,14,0.0,0.0,0,1,4,14.0,14.0,0566e256
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,13,0.0,0.0,0,1,1,4.0,4.0,e0ffa75e
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,11.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,14.0,4.0,0.0,0.0,0.0,16.0,3,0.0,0.0,12,4,6,10.5,42.0,79ed8b5b
0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,5,0.0,0.0,0,1,3,12.0,12.0,20f4c917
3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,13,0.0,0.0,0,1,3,11.0,11.0,c4af15f2
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9,0.0,0.0,1,2,1,2.5,5.0,de1a55e7
2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,46.0,4.0,0.0,3.0,8.0,1.0,0.0,3.0,0.0,12.0,6.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,46.0,0,0.0,0.0,10,3,9,20.33333333333333,61.0,57bab525
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,3.0,5,0.0,0.0,14,4,1,3.25,13.0,16426a08
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,11,0.0,0.0,0,1,2,9.0,9.0,111ac3c5
6.0,11.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,51.0,48.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,11.0,0.0,0.0,20.0,96.0,0,4.0,3.0,50,15,12,15.066666666666665,113.0,8f73daae
7.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,52.0,15.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,5.0,0.0,26.0,8,20.0,9.0,79,11,6,8.727272727272727,32.0,001ca5ee
2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1,5.0,1.0,66,3,6,8.333333333333334,8.333333333333334,8123457d
6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,10.0,4,0.0,0.0,4,3,4,8.333333333333334,25.0,6b78331f
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0,1,1,4.0,4.0,6421d9fe
