person,promedioCadaCuantosDiasVuelve,cadaCuantasHorasHaceEventos,cadaCuantosMinutosHaceEventos,cadaCuantosDiasEnMes5HaceEventos,cadaCuantasHorasEnUnDiaDelMes5HaceEventos,cadaCuantosMinutosHaceEventosEnUnDiaYHoraDelMes5,cadaCuantosSegundosHaceEventosEnUnDiaYHoraDelMes5,cadaCuantasHorasHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosMinutosHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosSegundosHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosDiasHaceConversion,cadaCuantosDiasHaceCheckout
0008ed71,0,2,48,0.0,2.0,2.0,68.0,2.0,1.6666666666666667,67.66666666666667,-1.0,0.0
00091926,1,18,340,1.0,3.0,2.0,64.0,17.0,1.5,20.0,-1.0,5.0
00091a7a,0,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
000ba417,4,27,167,4.0,1.0,2.0,52.0,1.0,2.0,41.0,0.0,4.0
000c79fe,0,0,1,0.0,0.0,2.0,44.0,0.0,2.0,44.0,-1.0,0.0
000e4d9e,1,22,209,2.0,1.0,2.0,35.0,5.0,0.0,1.0,-1.0,0.0
000e619d,0,17,175,1.0,1.0,1.0,20.0,4.0,0.5,12.5,-1.0,0.0
001001be,2,45,295,3.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0
0010e89a,0,0,0,0.0,0.0,1.0,14.0,0.0,1.0,14.0,-1.0,0.0
0016c4b5,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,0.0
001802e4,0,0,1,0.0,0.0,2.0,50.0,0.0,2.0,50.0,-1.0,0.0
001804a2,2,66,1986,3.0,0.0,7.0,404.0,0.0,0.0,0.0,0.0,2.0
0019e639,8,137,1419,2.0,3.0,1.0,16.0,7.0,2.0,36.0,102.0,25.0
001a2273,0,0,2,0.0,0.0,3.0,97.0,0.0,3.0,97.0,-1.0,0.0
001b0bf9,0,0,5,0.0,0.0,5.0,153.0,0.0,5.0,153.0,0.0,0.0
001ca5ee,8,127,4088,7.0,2.0,1.0,14.0,8.0,1.0,17.5,-1.0,0.0
001dfc31,34,821,18483,0.0,0.0,2.0,30.0,0.0,2.0,30.0,-1.0,-1.0
001e9aea,13,232,4443,17.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,9.0
0020152e,23,281,11253,23.0,0.0,1.0,79.0,1.0,2.0,116.0,0.0,0.0
00202cdb,0,6,109,1.0,8.0,1.0,11.0,11.0,0.5,9.0,-1.0,0.0
0022965d,6,84,2195,2.0,3.0,2.0,62.0,0.0,1.0,74.0,-1.0,2.0
0027574e,2,27,241,2.0,3.0,4.0,67.0,1.0,3.5,47.5,-1.0,1.0
00295d74,0,0,3,0.0,1.0,2.0,25.0,1.0,1.5,25.0,-1.0,0.0
002aea56,5,78,1723,13.0,0.0,2.0,26.0,0.0,2.0,43.0,0.0,36.0
002b0188,62,1492,6886,0.0,0.0,1.0,27.0,0.0,1.0,27.0,-1.0,0.0
002e74b2,0,0,0,0.0,0.0,1.0,29.0,0.0,1.0,29.0,-1.0,0.0
002ed810,12,106,2489,2.0,2.0,4.0,117.0,2.0,2.6,87.8,3.0,3.0
002fb981,19,328,9840,4.0,1.0,1.0,19.0,0.0,0.0,0.0,-1.0,0.0
00317e49,0,0,1,0.0,0.0,1.0,29.0,0.0,1.0,29.0,-1.0,0.0
0031c75f,0,0,2,0.0,0.0,3.0,40.0,0.0,3.0,40.0,-1.0,0.0
00344873,0,0,1,0.0,0.0,2.0,25.0,0.0,2.0,25.0,-1.0,0.0
003476c0,29,707,8486,0.0,0.0,1.0,26.0,0.0,1.0,26.0,-1.0,-1.0
003847fc,3,15,510,4.0,1.0,7.0,341.0,0.0,1.0,28.0,-1.0,4.0
0038a117,6,65,1506,2.0,2.0,4.0,155.0,8.0,0.0,0.0,0.0,1.0
003a05bf,2,35,674,3.0,6.0,1.0,22.0,18.0,2.0,57.0,-1.0,0.0
003a7d49,2,18,644,2.0,1.0,1.0,34.0,1.0,2.5,66.5,-1.0,0.0
003bdb4d,0,0,1,0.0,0.0,2.0,38.0,0.0,2.0,38.0,-1.0,0.0
003d07ef,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
003d4cac,16,406,16247,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
003dd965,0,0,1,0.0,0.0,1.0,38.0,0.0,1.0,38.0,-1.0,-1.0
003e7507,0,0,0,0.0,0.0,1.0,20.0,0.0,1.0,20.0,-1.0,0.0
00408349,9,227,4545,10.0,0.0,1.0,27.0,0.0,0.0,0.0,-1.0,0.0
0041fec6,1,40,368,2.0,0.0,1.0,42.0,0.0,3.0,89.0,-1.0,0.0
0042421c,39,942,4713,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0043a48e,0,10,220,1.0,1.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0
004b8d91,4,84,1438,5.0,0.0,2.0,72.0,0.0,0.0,10.0,-1.0,0.0
004ed8ba,3,41,953,3.0,1.0,1.0,30.0,0.0,1.0,18.0,0.0,3.0
0050d971,4,110,2640,4.0,0.0,1.0,23.0,0.0,0.0,3.0,-1.0,0.0
00546e55,0,0,4,0.0,1.0,5.0,220.0,1.0,5.0,220.0,-1.0,0.0
00546f4c,3,70,1072,4.0,0.0,1.0,26.0,0.0,0.0,0.0,27.0,21.0
00556ee5,28,695,6956,0.0,0.0,3.0,61.0,0.0,3.0,61.0,-1.0,0.0
0059a996,0,3,37,1.0,0.0,1.0,36.0,0.0,1.0,52.0,-1.0,-1.0
005af223,6,124,4742,3.0,0.0,0.0,8.0,0.0,0.0,0.0,-1.0,0.0
005e06ef,3,58,1310,4.0,0.0,2.0,18.0,0.0,5.0,33.0,-1.0,0.0
0061cbe8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
006549da,18,343,3927,6.0,3.0,1.0,19.0,0.0,1.0,5.0,-1.0,0.0
00665dda,1,14,397,2.0,4.0,1.0,18.0,10.0,1.0,20.666666666666668,-1.0,0.0
006671fd,0,7,87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
006bb312,0,0,0,0.0,0.0,1.0,6.0,0.0,1.0,6.0,-1.0,0.0
006cabc5,94,1136,6815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94.0
006e1534,0,9,181,0.0,9.0,0.0,14.0,9.0,0.5,14.5,-1.0,0.0
006fc943,2,30,451,5.0,5.0,1.0,26.0,10.0,2.0,45.0,-1.0,1.0
00702e02,1,13,102,2.0,1.0,2.0,57.0,0.0,1.0,33.0,-1.0,0.0
00736d10,20,367,6541,2.0,0.0,4.0,43.0,0.0,1.0,10.0,-1.0,0.0
00750af8,10,193,4223,3.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0
007537e8,7,172,3451,7.0,0.0,1.0,12.0,0.0,1.0,13.0,-1.0,0.0
00754f5e,0,21,326,0.0,21.0,0.0,31.0,21.0,0.5,31.0,-1.0,0.0
0076b7dc,9,156,2641,1.0,2.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0
007743ca,0,0,2,0.0,0.0,2.0,96.0,0.0,2.0,96.0,-1.0,0.0
007a0564,0,5,100,1.0,6.0,0.0,15.0,11.0,0.0,4.0,-1.0,0.0
007ddac1,0,0,1,0.0,0.0,2.0,23.0,0.0,2.0,23.0,-1.0,0.0
0081cd73,0,0,0,0.0,0.0,1.0,16.0,0.0,1.0,16.0,-1.0,0.0
0081f590,0,0,0,0.0,1.0,0.0,22.0,1.0,0.5,22.0,-1.0,0.0
008287e4,56,896,6208,1.0,0.0,1.0,25.0,1.0,1.0,20.0,-1.0,0.0
0083c22c,0,0,0,0.0,0.0,1.0,17.0,0.0,1.0,17.0,-1.0,0.0
00868d8e,0,0,2,0.0,1.0,2.0,56.0,1.0,1.5,55.5,-1.0,0.0
0086ee61,0,0,4,0.0,0.0,5.0,129.0,0.0,5.0,129.0,-1.0,0.0
0087d959,2,32,710,2.0,0.0,1.0,18.0,1.0,0.6666666666666666,10.666666666666666,-1.0,-1.0
0089421c,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
008a6d00,1,26,93,1.0,0.0,1.0,18.0,0.0,1.0,2.0,-1.0,0.0
008b4a48,0,0,1,0.0,0.0,1.0,39.0,0.0,1.0,39.0,-1.0,0.0
008bb884,0,4,21,0.0,4.0,2.0,45.0,4.0,2.2,45.2,-1.0,0.0
008f480f,0,0,0,0.0,0.0,1.0,8.0,0.0,1.0,8.0,-1.0,-1.0
