person,label
4886f805,0.28151935
0297fc1e,0.3686895
2d681dd8,0.30054253
cccea85e,0.4866535
4c8a8b93,0.34217876
29ebb414,0.28734562
3dc1950f,0.3805241
8ea4c165,0.39750484
d8cfe234,0.436479
d6bc64df,0.39750484
ec9c4059,0.36544466
d21b8e6b,0.2808775
2a724d87,0.28824693
686c49c9,0.4369429
a08d42ea,0.33679238
c98f5cf1,0.42867064
d614c608,0.28151935
e45acd53,0.4980316
7d876393,0.38380918
f5af843f,0.38940054
5a724794,0.3786533
00091926,0.40857634
55d1e0ee,0.39160797
f87be219,0.28151935
49c19e32,0.32084766
bb78c182,0.28824693
e2bfe05f,0.28824693
0e9d0ae2,0.28734562
cb68850c,0.28151935
f30ef764,0.28734562
ca5fa859,0.29364637
4f06f2dd,0.30054253
872d9b83,0.580876
dca7e4fa,0.36736268
3cb2bfc5,0.29415542
0ec008ff,0.5903313
19876c5b,0.44500682
36606944,0.3587064
3c36c384,0.30811188
25ec69e5,0.28151935
02a9fd4c,0.40592328
e9c847d7,0.32603908
8f7d334b,0.3653745
fd683087,0.50687873
aa5593bc,0.4049727
e39a4b4f,0.3653745
8aeb37ef,0.34741116
c76b8417,0.38656273
b51c3897,0.34623718
49013e40,0.4926095
18ad1f7c,0.38272858
ea679233,0.6756514
39df97e0,0.39977407
4473cb91,0.2947348
a90bb821,0.3787676
66f3c5a8,0.3071877
6972936f,0.3162309
f484e20b,0.48685348
bb5c496a,0.44905588
fa15dd75,0.57798535
8036d563,0.2947348
051b11a7,0.3162309
a708f6b7,0.3193575
8af64425,0.49730685
290a4ade,0.35402372
5ea8fd22,0.325267
73f02c61,0.4926095
b364ac0f,0.33881193
27c4deeb,0.37974635
1a8f3e6d,0.38341814
75aea7ed,0.3142604
68bee360,0.3786533
7363f782,0.44213527
5f5a1be2,0.36965123
f2ab91ec,0.3673478
f7e13865,0.3917816
f70a331b,0.38289782
69fe770b,0.3142604
73b5ddeb,0.42189905
3aae4375,0.4138639
2beddf66,0.322411
17b858f9,0.3071877
f75b14e8,0.32201618
67ec6a13,0.5176754
2466dcee,0.5398413
bbac557c,0.38250312
57d078f9,0.5464481
6791adff,0.35752922
2fca45c7,0.3912694
ee7d1909,0.3290267
b87bf3c0,0.42867064
229a0726,0.3071877
e28fa553,0.38377473
e2d69e04,0.33881193
f99328eb,0.43834454
7a98e5bb,0.2947348
60d720a3,0.308441
8f6d708a,0.34817007
91a293e8,0.46307546
dbff7610,0.3162309
c104bc78,0.40211633
b3bf2435,0.5376201
8611216e,0.48050773
2454293c,0.31932476
82d31364,0.38940054
f1f2d6aa,0.3534212
45599974,0.5433561
b8112306,0.3016456
7e317918,0.30771
a30504be,0.3071877
f88200f4,0.47942898
97267956,0.44417673
2fec9bbc,0.34253412
4e5d317d,0.30923048
f8e37457,0.35752922
9411a009,0.31095353
166bf528,0.47818092
5429fbb6,0.31712008
49ff6d6e,0.42639762
19c94e0b,0.4138639
0ff75b46,0.5013723
224613bb,0.3529521
179720f1,0.400012
1070bca3,0.33547702
a5d31df5,0.3162309
4e5c868d,0.42336953
653f68fe,0.3016456
3ebc771d,0.45577192
517bf648,0.52760506
254f8761,0.49636462
c844a662,0.4765072
7f6c85e8,0.2947348
35ee0cc8,0.53376776
c1d99fe2,0.42639762
55fc24ef,0.5282616
77e489c7,0.41319394
62ba2fba,0.30357203
ae4bfc26,0.325267
22f1d021,0.3265452
72368746,0.3016456
55e87de8,0.40270826
c56dff49,0.32945353
ba724fb6,0.33496687
b97b9d93,0.3016456
7025ac12,0.408082
bada76d3,0.5716759
70a325eb,0.5780236
fb19ca5a,0.39629808
f6cd21a1,0.35384607
91752493,0.2947348
92059fdf,0.2947348
4d233ac6,0.3071877
46a1efca,0.35752922
23b90f81,0.36745313
2606c8da,0.3142604
23e6906d,0.3237771
cf75487d,0.2947348
e349f752,0.41906404
d4e83772,0.39406505
9952a8e0,0.2947348
edc38036,0.5630308
e4b71e52,0.48539567
ed39978f,0.51571864
5b7a7697,0.50497454
a4e3e0ba,0.2947348
1033c7f1,0.3016456
a16a0211,0.4562697
2df10e76,0.43382937
732df811,0.36081395
80c8726f,0.3912694
619bff69,0.2947348
ed7382a8,0.4306813
3043e183,0.34997973
8ab5791a,0.33547702
6929face,0.37609264
6b5088da,0.3917816
685dc7f7,0.36745313
919bcd48,0.35752922
9a00037e,0.3142604
55f7ae64,0.32894796
fed81014,0.53237283
fd5e4491,0.35384607
e9c994b8,0.35752922
e4594222,0.42982858
a7b6e286,0.38995385
991360db,0.31095353
c5a0bc36,0.5102464
2287c9f7,0.5012872
0c9d90d6,0.2947348
41bfa3b9,0.3237771
b00a6f27,0.5375628
8a4b69ec,0.47130507
6ea9ffd2,0.51762795
d0c5aa85,0.50132227
fc4b841d,0.38192394
db1a3c00,0.30771
9b4f540a,0.3007201
7ac0c607,0.439773
af95a93c,0.3007201
a8ca0988,0.580876
e8a1b038,0.2947348
bb31d716,0.309658
b86b400e,0.30144173
852abc08,0.36745313
ad4b1e5f,0.53757286
2ff5b818,0.2947348
bf15584a,0.36013204
4a3c0db7,0.2947348
5f7f0c55,0.585991
9df0e397,0.38795218
03302054,0.5663456
000e4d9e,0.36965123
ad5943a9,0.32862028
f431031a,0.3016456
ee8dd67c,0.2947348
656072a3,0.3142604
846372d4,0.38030577
d1fd6caa,0.46274203
8a0a63af,0.38031793
670639bc,0.4043426
ae5b92db,0.34053925
41ccd2c6,0.4002096
bdd23ab2,0.39351803
270b42e3,0.3071877
ef8b96c3,0.43382937
bb8116c9,0.5754702
594a53d3,0.39696443
108caf2c,0.422337
18a185e1,0.2947348
ff9fc164,0.34817007
8a590d23,0.3519292
166a19f7,0.52516764
ee20c405,0.3153785
814db0b5,0.38940054
b0f9b8a1,0.308441
73ffc5f4,0.2947348
0aa2b925,0.34817007
f4bae3c6,0.2947348
92c81866,0.35752922
6f0826b2,0.36578324
d1a14d14,0.3290267
1e13d639,0.5441719
3956b1e1,0.32869637
f2c6d57c,0.2947348
29f80519,0.2947348
04b13fd2,0.35752922
ce36e512,0.490314
8a4ba4e2,0.39252496
1443cf62,0.3142604
5125c494,0.3016456
604d8035,0.41069844
80866567,0.2947348
9bb623c2,0.40744784
a53a1a30,0.37556016
103e0f7d,0.6362216
cd3a841d,0.2947348
fb6b16a8,0.36698404
89f62393,0.3957497
2c85b2fa,0.35139653
75950669,0.37645113
d84ae194,0.41243556
77bad6f5,0.2947348
2b213b2c,0.61033106
8808e6a9,0.36736107
b5a09122,0.3975523
bf46c410,0.40641055
42cc8a1d,0.565301
0744ba92,0.42025098
b9996281,0.5663456
471fb833,0.3016456
c449fd13,0.3016456
b059104a,0.3071877
ba61790b,0.3016456
deb5fa7a,0.50544846
71d5d6e4,0.35402372
766c271c,0.3838826
df127511,0.5110752
f7e04556,0.3071877
abe38822,0.40669218
0e3c91a6,0.32231322
efae8f71,0.35580772
31c9f140,0.35752922
aefc81ce,0.30812436
1fea3435,0.3016456
54d47ad8,0.31095353
df80a783,0.46819276
9bc43f7e,0.40983734
3e066076,0.49220145
67bdc946,0.5391356
32234ad9,0.3265452
77b15b7d,0.3007201
2e515d51,0.2947348
37a0837e,0.30954978
3dbfcd14,0.36479616
5fdd715e,0.4043426
1d762b15,0.33777013
9a0373f1,0.2947348
9bf77a71,0.41353863
32e355cf,0.353322
134cc999,0.5213709
3a44e639,0.439773
2c90f768,0.34997973
fb23d1c3,0.33547702
a5d3c172,0.50092053
583bd9b9,0.5175856
f5e0b71d,0.501209
360675d0,0.52760506
cb61f387,0.33255613
017fd805,0.38004807
99e4baf5,0.42225572
56b0c4d1,0.5376201
b5ea45de,0.2947348
e0848af4,0.45001572
811b25fd,0.3016456
33b6da32,0.2947348
62f88039,0.3016456
d010170b,0.4138639
27c58569,0.2947348
847b40a8,0.5663456
aea593cd,0.43382937
0d491a97,0.35752922
a0cf85b8,0.2947348
a7a651a9,0.3016456
8ed9e6f4,0.49513987
91274e51,0.3071877
078baec6,0.34817007
f3db7ee1,0.5248947
5dc80ac6,0.2947348
bb62445d,0.5282616
cd883145,0.36081395
35259134,0.32862028
08a82be5,0.3534212
5842c17d,0.5912954
b261977e,0.38004807
8aa5e0d6,0.51670265
45228a20,0.3007201
7f302cb0,0.5663456
9df21469,0.37645817
baf3e801,0.39461556
66b1e1fc,0.39033005
fdfa8de9,0.44625065
cdd8bff0,0.31712008
019ac712,0.2947348
c96353d2,0.3160924
33fd8777,0.29364637
57fda37b,0.29649535
