person,label
4886f805,0.28246403
0297fc1e,0.30423656
2d681dd8,0.30277827
cccea85e,0.44194847
4c8a8b93,0.3793452
29ebb414,0.30275914
3dc1950f,0.40845266
8ea4c165,0.3840413
d8cfe234,0.40502965
d6bc64df,0.42203754
ec9c4059,0.3292916
d21b8e6b,0.28246403
2a724d87,0.29026484
686c49c9,0.49925214
a08d42ea,0.36425406
c98f5cf1,0.4286466
d614c608,0.29250184
e45acd53,0.52715266
7d876393,0.3645108
f5af843f,0.4036537
5a724794,0.4811981
00091926,0.3608362
55d1e0ee,0.37382075
f87be219,0.28246403
49c19e32,0.35572743
bb78c182,0.29026484
e2bfe05f,0.29026484
0e9d0ae2,0.28624704
cb68850c,0.29250184
f30ef764,0.30275914
ca5fa859,0.30277827
4f06f2dd,0.31486323
872d9b83,0.5532949
dca7e4fa,0.3645108
3cb2bfc5,0.29410952
0ec008ff,0.5978829
19876c5b,0.4076232
36606944,0.39813292
3c36c384,0.30277827
25ec69e5,0.29250184
02a9fd4c,0.4073586
e9c847d7,0.2998063
8f7d334b,0.359914
fd683087,0.43348244
aa5593bc,0.3793452
e39a4b4f,0.359914
8aeb37ef,0.30108938
c76b8417,0.4036537
b51c3897,0.40946445
49013e40,0.43704665
18ad1f7c,0.3812336
ea679233,0.6392883
39df97e0,0.39488855
4473cb91,0.29250184
a90bb821,0.3432049
66f3c5a8,0.32425958
6972936f,0.32524037
f484e20b,0.40642992
bb5c496a,0.35625973
fa15dd75,0.5889841
8036d563,0.29250184
051b11a7,0.31121877
a708f6b7,0.3006515
8af64425,0.4383754
290a4ade,0.40845266
5ea8fd22,0.3432049
73f02c61,0.43704665
b364ac0f,0.34321043
27c4deeb,0.32381988
1a8f3e6d,0.40845266
75aea7ed,0.3079471
68bee360,0.43704665
7363f782,0.4286466
5f5a1be2,0.40845266
f2ab91ec,0.36544222
f7e13865,0.38963145
f70a331b,0.3894109
69fe770b,0.3096574
73b5ddeb,0.44335648
3aae4375,0.38455793
2beddf66,0.29342827
17b858f9,0.29987186
f75b14e8,0.31197816
67ec6a13,0.51006997
